2121|BOX EXPRESS COURIER LTDA|Aduanas de Cali|TRAFICO POSTAL|Carrera 97 No. 24C-75. Bod.47. |1991-11-19|2014-04-27
2122|BOX EXPRESS COURIER LTDA|Aduanas de Bogotá|TRAFICO POSTAL|AK 97 No.24C-75 BG 47|1991-11-19|2014-04-27
2123|EXPRESITO CARGA LIMITADA|Aduanas de Bogotá|TRAFICO POSTAL|AVENIDA ELDORADO No. 84A-55 LOCAL E 20|1991-11-19|9999-12-31
2124|SPEEDWAY EXPRESS DE COLOMBIA LIMITADA|Aduanas de Bogotá|TRAFICO POSTAL|TRANSVERSAL 44 No. 93A-77.|1991-11-19|9999-12-31
2125|SERVIENTREGA INTERNACIONAL S A|Aduanas de Bogotá|TRAFICO POSTAL|CALLE 64 No.89A-83|1991-11-19|9999-12-31
2126|INTERNATIONAL BONDED COURIERS LTDA|Aduanas de Bogotá|TRAFICO POSTAL|TRANSVERSAL 93 No.62-46 INT4|2008-04-17|2013-04-17
2127|ZAI CARGO E U|Aduanas de Bogotá|TRAFICO POSTAL|CARRERA 29 No.14B-22 SUR|1991-11-19|9999-12-31
2128|ABE CARGO EXPRESS LTDA|Aduanas de Bogotá|TRAFICO POSTAL|AVENIDA ELDORADO No. 84A-55 LE-13A|1991-11-19|2014-05-28
2131|MENSAEXPRESS INTERNACIONAL COURIER EU|Aduanas de Bogotá|TRAFICO POSTAL|CARRERA 98 A No.38B-14 LOCAL 112-113|1991-11-19|9999-12-31
2132|MENSAYA LIMITADA|Aduanas de Bogotá|TRAFICO POSTAL|CARRERA 100 No.BIS No.43-59 L.001|1991-11-19|9999-12-31
2133|MENSAJERIA ESPECIALIZADA Y COURRIER EXPRESS S.A.|Aduanas de Bogotá|TRAFICO POSTAL|CALLE 25G No.84A-45|1991-11-19|9999-12-31
2134|PLANET EXPRESS LTDA|Aduanas de Bogotá|TRAFICO POSTAL|CALLE 54 No.71-20|1991-11-19|9999-12-31
2135|COURIER NACIONAL  E INTERNACIONAL SERVINSA LTDA|Aduanas de Bogotá|TRAFICO POSTAL|CARRERA 48 No.69-20 Piso 1.|1991-11-19|9999-12-31
2136|USA CO COLOMBIAN WORLDWIDE COURIER LTDA|Aduanas de Bogotá|TRAFICO POSTAL|TRANSVERSAL 93 No. 53-32 INTERIOR 15.|1991-11-19|9999-12-31
2137|JET BOX S.A.|Aduanas de Bogotá|TRAFICO POSTAL|CARRERA 73A No.51A-35|1991-11-19|2014-06-15
2138|LARS COURRIER SA|Aduanas de Bogotá|TRAFICO POSTAL|TRANSVERSAL 85 No.65-06|1991-11-19|9999-12-31
2139|EXPRESITO CARGA LIMITADA|Aduanas de Bogotá|TRAFICO POSTAL|Av El Dorado No. 84A-55. Local E 20. |1991-11-19|9999-12-31
2140|AIREXPRESS S.A.|Aduanas de Bogotá|TRAFICO POSTAL|AVENIDA EL DORADO No.84A-55 L-E14|1991-11-19|9999-12-31
2141|W.A.T. EXPRESS S.A.|Aduanas de Bogotá|TRAFICO POSTAL|AV EL DORADO 84 A 55 LC EX 32|1991-11-19|9999-12-31
2142|GRUPO SERT LTDA|Aduanas de Bogotá|TRAFICO POSTAL|CL 65 B 88 27 IN 5 AP 503 / CLLE 25C BIS 99-55|2009-01-16|2014-01-16
2143|COORDINADORA MERCANTIL S.A.|Aduanas de Bogotá|TRAFICO POSTAL|CALLE 17 No. 69B-96|1991-11-19|9999-12-31
2144|PONY EXPRESS CARGO LTDA|Aduanas de Bogotá|TRAFICO POSTAL|Av Carrera 103 NO. 25B Bis-48. |2008-10-09|2014-05-17
